sex,age_group,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
female,0-4,57.02,56.6,56.19,55.86,55.67,55.82,55.48,55.17,54.9,54.65,54.42,54.21,54,53.78,53.55,53.3
female,5-9,59.96,59.56,59.14,58.66,58.05,57.11,56.68,56.28,55.94,55.75,55.9,55.56,55.25,54.98,54.73,54.51
female,10-14,61.49,61.15,60.87,60.59,60.29,59.95,59.55,59.13,58.65,58.03,57.1,56.67,56.27,55.93,55.74,55.89
female,15-19,63.41,63.32,63.03,62.6,62.14,61.72,61.38,61.1,60.82,60.52,60.18,59.78,59.36,58.87,58.26,57.32
female,20-24,62.54,62.55,62.78,63.13,63.43,63.57,63.49,63.2,62.76,62.3,61.88,61.54,61.26,60.98,60.68,60.34
female,25-29,64.8,64.36,63.85,63.34,62.94,62.7,62.7,62.93,63.28,63.58,63.73,63.65,63.36,62.92,62.46,62.04
female,30-34,66.75,66.4,66.08,65.77,65.43,65.07,64.63,64.12,63.61,63.2,62.96,62.97,63.2,63.55,63.85,64
female,35-39,68.26,67.93,67.59,67.25,66.91,66.56,66.22,65.9,65.59,65.26,64.9,64.46,63.95,63.44,63.04,62.8
female,40-44,68.13,68.6,68.71,68.57,68.28,67.96,67.64,67.3,66.97,66.63,66.28,65.94,65.63,65.32,65,64.64
female,45-49,61.66,62.97,64.37,65.73,66.9,67.74,68.21,68.33,68.19,67.91,67.6,67.28,66.95,66.62,66.29,65.95
female,50-54,55.45,56.58,57.64,58.68,59.76,60.93,62.24,63.63,64.99,66.15,66.99,67.46,67.59,67.46,67.19,66.89
female,55-59,47.78,49.26,50.66,51.97,53.22,54.41,55.53,56.59,57.62,58.7,59.86,61.16,62.54,63.89,65.04,65.88
female,60-64,37.96,39.58,41.25,42.92,44.55,46.09,47.54,48.9,50.19,51.42,52.59,53.69,54.73,55.75,56.82,57.97
female,65-69,27.64,29.54,31.19,32.67,34.12,35.62,37.19,38.79,40.39,41.95,43.43,44.83,46.14,47.39,48.58,49.72
female,70-74,14.4,16.25,18.37,20.6,22.74,24.67,26.4,27.91,29.29,30.64,32.03,33.48,34.98,36.47,37.92,39.32
female,75+,15.84,16.36,17.05,17.99,19.25,20.88,22.83,25.12,27.67,30.39,33.19,36.07,39.02,42.04,45.15,48.35
male,0-4,59.84,59.31,58.77,58.28,57.97,58.11,57.76,57.44,57.16,56.9,56.67,56.46,56.24,56.03,55.79,55.54
male,5-9,62.79,62.42,62.05,61.67,61.12,60.11,59.57,59.03,58.54,58.22,58.36,58.01,57.7,57.41,57.16,56.93
male,10-14,65.21,64.83,64.46,64.07,63.67,63.28,62.9,62.54,62.15,61.6,60.58,60.04,59.49,59,58.68,58.82
male,15-19,67.16,67.09,66.8,66.36,65.89,65.46,65.08,64.7,64.32,63.92,63.53,63.14,62.79,62.39,61.84,60.81
male,20-24,65.04,65.36,65.82,66.33,66.73,66.91,66.84,66.55,66.12,65.65,65.22,64.84,64.47,64.09,63.7,63.31
male,25-29,64.96,64.69,64.45,64.29,64.25,64.37,64.68,65.15,65.65,66.04,66.23,66.16,65.87,65.44,64.98,64.55
male,30-34,65.69,65.5,65.3,65.09,64.86,64.61,64.34,64.09,63.93,63.88,64,64.32,64.77,65.27,65.67,65.86
male,35-39,66.77,66.55,66.31,66.06,65.82,65.6,65.41,65.21,65,64.77,64.51,64.24,64,63.84,63.79,63.91
male,40-44,65.76,66.35,66.62,66.63,66.51,66.33,66.11,65.87,65.62,65.38,65.17,64.97,64.77,64.57,64.34,64.08
male,45-49,58.41,59.82,61.31,62.77,64.02,64.95,65.54,65.8,65.82,65.7,65.52,65.31,65.08,64.83,64.59,64.39
male,50-54,51.17,52.36,53.51,54.66,55.86,57.14,58.53,59.99,61.42,62.65,63.57,64.15,64.41,64.44,64.33,64.16
male,55-59,43.2,44.41,45.64,46.88,48.11,49.32,50.47,51.59,52.71,53.88,55.13,56.49,57.92,59.31,60.51,61.42
male,60-64,34.77,35.98,37.12,38.22,39.32,40.44,41.59,42.76,43.94,45.11,46.25,47.36,48.43,49.5,50.62,51.82
male,65-69,24.26,25.89,27.35,28.67,29.9,31.06,32.16,33.2,34.21,35.21,36.24,37.29,38.37,39.45,40.54,41.6
male,70-74,11.95,13.55,15.27,17.02,18.68,20.18,21.55,22.79,23.91,24.95,25.95,26.9,27.8,28.68,29.55,30.46
male,75+,9.53,10,10.62,11.45,12.49,13.79,15.28,16.96,18.78,20.68,22.61,24.55,26.52,28.48,30.42,32.33